# Kingdom of Loathing items that yield other items when used.
# Derived from {{acquire}} templates in the "When Used" section of every article in
# Category:Usable Items (and subcategories) on wiki.kingdomofloathing.com.
# Generated 2026-09-06 by scripts/fetch-kol-item-yields.mjs from 3402 pages.
#
# itemid: KoL's own item number, from the wiki's Cargo "Items" table. Empty when the
#         article has no Data: subpage to read one from.
# self_transform: all  = every yield is the same item in another state (e.g. a book
#                        becoming "<book> (used)") — no new items come out of it
#                 part = mixed; the self-transforming yields are prefixed with "*"
#                 no   = every yield is a different item, or the item pays only Meat
# meat: Meat the item pays out when used, as the wiki writes it ("400-600", "3,000",
#       "some"); " / " separates alternative outcomes. Empty = pays no Meat. Meat the
#       item COSTS you ({{meat|type=lose|...}}) is not counted here.
# class: what the userscript groups by; first match of multiuse, meat, random, items.
#        multiuse = using N at once decides what you get (from KoLMafia's MUSE recipes)
#        meat     = pays Meat; random = the wiki can only give a range or "some"
#        items    = a fixed set of items
# multiuse: the recipes, "N=what you get", "; "-separated. Empty unless class=multiuse.
# yields: "; "-separated; "xN" suffix is the quantity or range the wiki lists.
item	itemid	class	self_transform	meat	multiuse	yields
Bit of clingfilm	2988	multiuse	no		3=clingfilm tangle; 7=clingfilm slippers; 9=clingfilm cap; 11=clingfilm trousers	clingfilm tangle; clingfilm slippers; clingfilm cap; clingfilm trousers
Black candygram	3264	items	no			black candy heart
Black pension check	2057	meat	no	400-450		
Black picnic basket	2058	random	no			black pudding (food) xsome; Blackfly Chardonnay xsome; black & tan xsome; black pepper xsome; black forest cake xsome; black forest ham xsome
Blank note	5732	items	no			eerily silent box
Blank prescription sheet	3781	items	no			bottle of melodramamine; bottle of extra-strength melodramamine
Blessed large box	5504	random	no			milky potion; swirly potion; bubbly potion; smoky potion; cloudy potion; effervescent potion; fizzy potion; dark potion; murky potion; milky potion xsome; swirly potion xsome; bubbly potion xsome; smoky potion xsome; cloudy potion xsome; effervescent potion xsome; fizzy potion xsome; dark potion xsome; murky potion xsome
Blind-packed capsule toy	5930	items	no			tiny plastic series 3
Blind-packed die-cast metal toy	6972	items	no			Die-Cast series 1
Blue lava globs	8444	items	no			uncapped blue lava bottle
Bolt of striped fabric	12196	items	no			blue and black dress; white and gold dress
Book of facts	11333	items	all			*book of facts (dog-eared)
Booty chest charrrm	2980	items	no			booty chest charrrm bracelet
Boozehounds Anonymous token	3739	items	no			margarita; martini; monkey wrench; salty dog; screwdriver; strawberry daiquiri; strawberry wine; tequila sunrise; vodka martini; whiskey and soda; whiskey sour; wine spritzer
Boring binder clip	6694	items	no			McClusky file (complete)
Bottle of Blank-Out	4857	items	no			glob of Blank-Out
Box o' ghosts	10648	items	no			gregarious ghostling; grinning ghostling; greedy ghostling
Box of Gratitude chocolates	8764	items	no			Gratitude chocolate (thyme-filled) x3; Gratitude chocolate (bourbon-filled) x3; Gratitude chocolate (Meat-filled) x3; Gratitude chocolate (octopus-filled)
Box of Pokëmann band-aids	5077	random	no			Pokëmann band-aid x?4-6?
Box of bear arms	5790	items	no			right bear arm; left bear arm
Boxed Apriling band helmet	11564	items	no			Apriling band helmet
Boxed Archaeologist's Spade	12185	items	no			Archaeologist's Spade
Boxed Heartstone	12180	items	no			Heartstone
Boxed Mayam Calendar	11571	items	no			Mayam Calendar
Boxed Sept-Ember Censer	11641	items	no			Sept-Ember Censer
Boxed august scepter	11305	items	no			august scepter
Boxed autumn-aton	10953	items	no			autumn-aton
Boxed bat wings	11657	items	no			bat wings
Boxed gumball machine	10870	items	no			meatball machine
Brick of sand	2582	multiuse	no		20=sandcastle	sandcastle
Briefcase	184	meat	no	300		fat stacks of cash
Briefcase full of sprinkles	9264	items	no			sprinkles x4,000-6,000
Broken chocolate pocketwatch	9215	items	no			chocolate pocketwatch
Broken high-temperature mining drill	8457	items	no			high-temperature mining drill
Bubble-wrap simulator	5929	items	all			*bubble-wrap simulator (one broken button)
Bubble-wrap simulator (half broken)	6110	items	no			bubble-wrap simulator (one button left)
Bubble-wrap simulator (one broken button)	6109	items	no			bubble-wrap simulator (half broken)
Bubblin' crude	5789	multiuse	no		3=oily boid; 8=oil cap; 9=oil lamp; 10=oil slacks; 11=oil pan; 12=jar of oil	oily boid; oil cap; oil lamp; oil slacks; oil pan; jar of oil
Bulky free-range mushroom	10485	items	no			mushroom filet x3; plump free-range mushroom
Bunch of bananas	2372	random	no			banana x4-6
Bunch of sea grapes	10271	items	no			bottle of sea wine
Bundle of firewood	10312	items	no			stick of firewood x10
CRIMBCO Employee Handbook (chapter 1)	4859	items	all			*CRIMBCO Employee Handbook (chapter 1) (used)
CRIMBCO Employee Handbook (chapter 2)	4860	items	all			*CRIMBCO Employee Handbook (chapter 2) (used)
CRIMBCO Employee Handbook (chapter 3)	4861	items	all			*CRIMBCO Employee Handbook (chapter 3) (used)
CRIMBCO Employee Handbook (chapter 4)	4862	items	all			*CRIMBCO Employee Handbook (chapter 4) (used)
CRIMBCO Employee Handbook (chapter 5)	4863	items	all			*CRIMBCO Employee Handbook (chapter 5) (used)
CSA discount card	5745	meat	no	300		
Can of Rain-Doh	5553	items	no			empty Rain-Doh can; Rain-Doh red wings; Rain-Doh orange agent; Rain-Doh yellow laser gun; Rain-Doh green lantern; Rain-Doh blue balls; Rain-Doh indigo cup; Rain-Doh violet bo; Rain-Doh black box
Cannonball charrrm	2982	items	no			cannonball charrrm bracelet
Cannonball charrrm bracelet	2983	items	no			charrrm bracelet; cannonball charrrm
Canopic jar	2536	items	no			ancient spice; powdered organs; Ankh of Badahnkadh
Carrot nose	6151	random	no			carrot juice; carrot juice xsome
Carton of astral energy drinks	10882	items	no			astral energy drink x6
Celsius 233	9504	items	all			*Celsius 233 (singed)
Charter: Nellyville	11264	items	no			hot nuggets x3
Cheap toaster	637	items	no			toast x3
Chest of "pirate gold"	11482	items	no			Crimbuccaneer piece of 12 x20
Chest of the Bonerdagon	678	meat	no	3,000		
Chewing gum on a string	23	items	no			seal-skull helmet; seal-clubbing club; helmet turtle; turtle totem; ravioli hat; pasta spoon; Hollandaise helmet; saucepan; disco mask; disco ball; mariachi hat; stolen accordion; old sweatpants; worthless trinket; worthless gewgaw; worthless knick-knack
Chocolate covered ping-pong ball	11110	items	no			ping-pong ball
Chroner cross	7723	items	no			Chroner x3; Chroner x2
Chroner trigger	7729	items	no			Chroner
Clan VIP Lounge invitation	3946	items	no			Clan VIP Lounge key
Cloaca-Cola c-rations	1339	items	no			Cloaca-Cola x6
Cloaca-Cola knapsack	1332	items	no			Cloaca grenade x3; Cloaca-Cola c-rations; Cloaca-Cola-issue combat knife; picture of a dead guy's girlfriend
Closed-circuit phone system	11168	items	no			closed-circuit pay phone
Cocktails of the Age of Sail	11432	items	all			*Cocktails of the Age of Sail (used)
Collection of tiny spooky objects	4585	meat	no	100-1000		
Colossal free-range mushroom	10488	items	no			house-sized mushroom; immense free-range mushroom
Combat lover's locket lockbox	10892	items	no			combat lover's locket
Comprehensive Cartographic Compendium	10644	items	all			*Comprehensive Cartographic Compendium (well-read)
Cooling iron breastplate	6549	items	no			cool iron breastplate
Cooling iron greaves	6550	items	no			cool iron greaves
Cooling iron helmet	6548	items	no			cool iron helmet
Copper ha'penny charrrm	2984	items	no			copper ha'penny charrrm bracelet
Copper ha'penny charrrm bracelet	2985	items	no			charrrm bracelet; copper ha'penny charrrm
Cornucopia	9183	items	no			raw gravy; raw cranberry sauce; raw stuffing; raw turkey; raw green beans; raw bread; raw mincemeat; raw potato; raw sweet potato; cashew x2 - 5
Cosmic Calorie	6306	multiuse	no		20=celestial olive oil; 30=celestial carrot juice; 50=celestial au jus; 60=celestial squid ink	celestial olive oil; celestial carrot juice; celestial au jus; celestial squid ink
Cosmic bucket	6296	items	no			fragment of Jarlsberg's soul x15
Cosmic six-pack	6237	items	no			mediocre lager x6
Covert Ops for Kids	11765	items	all			*Covert Ops for Kids (used)
Crate of firebombs	7259	items	no			firebomb x10
Crate of fish meat	6312	random	no			beefy fish meat x3-6; glistening fish meat x3-6; slick fish meat x3-6
Crate of prize-winning cheese	12176	items	no			wedge of prize-winning cheese x24
Crate of prize-winning rum	12125	items	no			bottle of prize-winning rum x24
Crated wardrobe-o-matic	11394	items	no			wardrobe-o-matic
Crayon shavings	5703	multiuse	no		7=wax hat; 11=wax pants	wax hat; wax pants; wax bugbear
Crimbo Factory surprise box	10382	items	no			ball; borg sock monkey; Bulky Buddy Box (hatchling); evil teddy bear; fancy dress ball; killer rag doll; kite; marionette; monomolecular yo-yo; mylar scout drone; pet rock; possessed top; razor-tipped yo-yo; roboduck-on-a-string; stuffed doppelshifter; stuffed gray blob; teddy borg; top; toy crazy train; tree-eating kite; yo-yo
Crimbo pressie	644	items	no			box; fruitcake; wrapping paper
Crimbo stocking	941	items	no			candy cane; eggnog; gingerbread bugbear; small Crimbo Pressie
Crimbot ROM: Mathematical Precision	8008	items	all			*Crimbot ROM: Mathematical Precision (dirty)
Crimbot ROM: Rapid Prototyping	8007	items	all			*Crimbot ROM: Rapid Prototyping (dirty)
Crimbot ROM: Ruthless Efficiency	8009	items	all			*Crimbot ROM: Ruthless Efficiency (dirty)
Crimbuccaneer captain's purse	11418	random	no			Crimbuccaneer piece of 12 x10-40
Crimbuccaneer premium booty sack	11412	items	no			gunwale; free boots; Crimbuccaneer runebone; Crimbuccaneer invasion map; brown pirate pants; The Encyclopedia of Fruit; Crimbuccaneer fledges (disintegrating); whalegun; Crimbuccaneer tavern swab; Cocktails of the Age of Sail; punching mirror; baby rigging snake; Crimbuccaneer lantern; Crimbuccaneer bombjacket
Crude monster sculpture	6677	items	no			sticky clay homunculus
Crude oil congealer	9914	items	no			jar of oil
Crystal Crimbo goblet	11082	items	no			Crimbosmopolitan
Crystal Crimbo platter	11083	items	no			Crimbo dinner
Cult memo	3883	items	no			decoded cult documents
Cursed microwave	5663	items	no			gunpowder burrito x5
Cursed monkey glove	11187	items	no			cursed monkey's paw
Cursed piece of thirteen	3034	meat	no	500-1000		
Cursed pony keg	5664	items	no			beery blood x5
CyberRealm keycode	11807	items	no			server room key
D10	5288	items	no			dungeon dragon chest
D4	5285	random	no			generic restorative potion xY
D6	5286	random	no			generic mana potion xY
D8	5287	random	no			generic healing potion xY
DIY protonic accelerator kit	9081	items	no			protonic accelerator pack
Daily Affirmation: Work For Hours a Week	9484	meat	no	some		
Damp old wallet	6313	items	no			sand dollar x?-58-70-?
Day shortener	11346	items	no			extra time
Dead guy's piece of double-sided tape	3336	items	no			dead guy's memento
Dead mimic	1267	random	no			aluminum wand; ebony wand; hexagonal wand; marble wand; pine wand; Dungeons of Doom potion x10-15; ring of adornment; ring of aggravate monster; ring of cold resistance; ring of conflict; ring of fire resistance; ring of gain strength; ring of increase damage
Dear Past Self Package	9103	items	no			Time-Spinner
Delectable catalyst	1605	items	no			scrumdiddlyumptious solution
Deluxe Neverending Party favor	9946	items	no			TRIO cup of beer x3; party platter for one x3; Party-in-a-Can™ x3; party pup; party whip; Living to Drink, Drinking to Live; Party Tattoo™ gift certificate; TRIO cup of beer; party platter for one; Party-in-a-Can™
Deluxe fax machine	4865	items	no			portable photocopier x10
Designer sweatpants (new old stock)	10928	items	no			designer sweatpants
Detective school application	9073	items	no			plastic detective badge
Dickory Farms Gift Basket	4882	items	no			festive sausage x2; holiday cheese log x2; fake plastic grass
Dinghy plans	146	items	no			dingy dinghy
Disassembled clover	196	items	no			ten-leaf clover
Discontent™ Winter Garden Catalog	7069	items	no			packet of winter seeds
Discount Telescope Warehouse gift certificate	2599	meat	no	100000		
Discreetly-wrapped Eternity Codpiece	12066	items	no			The Eternity Codpiece
Disintegrating barrel	8573	items	no			insanely spicy bean burrito; insanely spicy enchanted bean burrito; insanely spicy jumping bean burrito; banana; barrel pickle; barrel cracker; tiny barrel
Disintegrating quill pen	1957	items	no			scroll of ancient forbidden unspeakable evil; scroll of ancient forbidden unspeakable evil
Doll house	1398	random	no			tiny plastic series 1 xsome; tiny plastic series 1C xsome
Dollhive	3067	random	no			tiny plastic series 2 xsome
Dolphin King's map	26	meat	no	150		Dolphin King's crown
Dr. Hobo's map	601	items	no			Dr. Hobo's scalpel
Dry cleaning receipt	6876	items	no			power sock; wool sock; moustache sock
Dubious peppermint	4151	multiuse	no		169=numberwang	numberwang
Duct tape	2697	multiuse	no		4=duct tape wallet; 10=duct tape buckler; 12=duct tape dockers; 14=duct tape fedora; 17=duct tape sword; 23=duct tape shirt	duct tape wallet; duct tape buckler; duct tape dockers; duct tape fedora; duct tape sword; duct tape shirt
Duct tape wallet	2698	meat	no	2500-3600		
Dude ranch souvenir crate	6726	random	no			Bottle of whiskey xsome; Coconut shell xsome; Stick of dynamite xsome; gingham blouse; rhinestone cowboy shirt
Dungeon dragon chest	5297	meat	no	450-550		
Dungeoneering kit	6249	items	no			scroll of Protection from Bad Stuff; scroll of Puddingskin; soft green echo eyedrop antidote
Dusty animal skull	1799	items	no			misshapen animal skeleton
Dusty barrel	8572	items	no			banana; barrel cracker; barrel pickle; spicy bean burrito; spicy enchanted bean burrito; spicy jumping bean burrito; tiny barrel
Dyspepsi-Cola d-rations	1338	items	no			Dyspepsi-Cola x6
Dyspepsi-Cola knapsack	1333	items	no			Dyspepsi grenade x3; Dyspepsi-Cola d-rations; Dyspepsi-Cola-issue canteen; picture of a dead guy's girlfriend
Ed the Undying exhibit crate	8184	items	no			The Crown of Ed the Undying
Eerily silent box	5733	items	no			soul monocle
El Vibrato drone	3157	items	no			sparking El Vibrato drone; humming El Vibrato drone; glowing El Vibrato drone; El Vibrato translator; warm El Vibrato drone
Eldritch effluvium	9190	multiuse	no		37=eldritch extract	eldritch extract; eldritch concentrate
Eldritch ichor	9333	multiuse	no		111=eldritch rub; 666=eldritch tincture	eldritch rub; eldritch tincture
Eldritch tincture	9335	items	all			*eldritch tincture (depleted)
Elf Farm Raffle ticket	500	items	no			Elfin shortbread; pagoda plans; pagoda plans; Elfin shortbread
Elf Guard Field Manual: Culinary Arts	11429	items	all			*Elf Guard Field Manual: Culinary Arts (used)
Elf Guard Field Manual: Extortion	11449	items	all			*Elf Guard Field Manual: Extortion (used)
Elf Guard Field Manual: Wilderness Sleeping	11454	items	all			*Elf Guard Field Manual: Wilderness Sleeping (used)
Elf Guard honor present	11413	items	no			Elf Guard SCUBA tank; Elvish underarmor; Elf Guard red and white beret; Elf Guard Field Manual: Extortion; Elf Guard strategic map; Elf Guard insignia (general); ancient Elf dessert spoon; Elf Guard Field Manual: Culinary Arts; Elf Guard clipboard; Elf Guard Field Manual: Wilderness Sleeping; Elf Guard hangover cure; Elf Guard broom; Elf Guard fuel tank; massive wrench
Elf Guard payroll bag	11433	random	no			Elf Guard MPC x10-40
Ellsbury's journal	4663	items	all			*Ellsbury's journal (used)
Embering hunk	11654	multiuse	no		21=ember egg	ember egg
Emotion chip	10733	items	no			spinal-fluid-covered emotion chip
Envelope full of Meat	10368	meat	no	500		
Evil flaming eyeball pendant	2226	items	no			liar's pants
Evil golden arches	504	random	no			Brimstone Chicken Sandwich xsome; Double Bacon Beelzeburger xsome; Lord of the Flies-sized fries xsome; Jumbo Dr. Lucifer xsome
Extra special Crimbo stocking	951	items	no			eggnog; candy cane; gingerbread bugbear; small Crimbo Pressie; Mr. Accessory
Fancy tin beer can	6766	multiuse	no		1=tin cup; 2=tin snips; 4=tin lizzie; 8=tin tam; 11=tin foil; 16=tin drum; 32=tin roof (rusted)	tin cup; tin snips; tin lizzie; tin tam; tin foil; tin drum; tin roof (rusted)
Fat wallet	3735	meat	no	350-450		
Festive warbear bank	7060	meat	no	X / 100		
Field Guide to Skeletal Anatomy	5124	items	all			*Field Guide to Skeletal Anatomy (shredded)
First Post shirt package	9026	items	no			First Post shirt - Cir Senam
Fish stick cozy	6330	items	no			Staff of the Cozy Fish
Fisherman's sack	4250	items	no			fish-oil smoke bomb x3; vial of squid ink; potion of fishy speed
Flaming familiar doppelgänger	2225	items	no			evil flaming eyeball pendant
Flaming pink shirt	2224	items	no			flaming familiar doppelgänger
Flat dough	301	items	no			wad of dough
Flickering pixel	6156	items	no			Byte
Floaty inverse geode	4189	random	no			floaty sand x7-10; floaty pebbles x2-6; floaty gravel x0-2; floaty rock x0-1
Flytrap pellet	3571	meat	no	300-400		dull fish scale; flytrap bezoar; baby cuddlefish; dull fish scale xsome; baby cuddlefish xsome; flytrap bezoar xsome
Folder Holder	4930	items	no			over-the-shoulder Folder Holder
Fourth of May Cosplay Saber kit	10250	items	no			Fourth of May Cosplay Saber
Frat Army FGF	2511	random	no			brain-meltingly-hot chicken wings xsome; knob ka-bobs xsome; can of Swiller xsome; melted Jell-o shot xsome; frat brats xsome; McMillicancuddy's Special Lager
Free-range mushroom	10483	items	no			mushroom filet x3
Fresh can of paint	10731	items	no			fresh coat of paint
Frozen Mob Penguin	1789	random	no			penguin skin; kneecapping stick x0-1; Mob Penguin cellular phone x0-2; penguin skin; support cummerbund x0-1; mafia aria x0-2; penguin skin; iron pasta spoon x0-1; scroll of pasta summoning x0-2
Fruit basket	1434	random	no			orange xsome; grapefruit xsome; olive xsome; lemon xsome; strawberry xsome; grapes xsome; tomato xsome; papaya xsome; cranberries xsome; lime xsome; jumbo olive xsome; cherry xsome
Fruit bowl	1433	random	no			cranberries xsome; grapefruit xsome; lemon xsome; strawberry xsome; tomato xsome; olive xsome; orange xsome; papaya xsome; grapes xsome
Fruitfilm	3124	items	no			strawberry; lemon; grapes; orange
GameInformPowerDailyPro subscription card	4712	items	no			GameInformPowerDailyPro magazine; fistful of ashes
Gathered Meat-Clip	9926	meat	no	420-620		
Gaudy key	4874	items	no			snakehead charrrm
General Assembly Module	3075	items	no			C.B.F.G.; biomechanical crimborg leg armor; biomechanical crimborg helmet
Giant castle map	667	items	no			quantum egg
Giant free-range mushroom	10486	items	no			mushroom slab; bulky free-range mushroom
Giant green gummi ingot	5474	items	no			giant green gummi bear
Giant jar of protein powder	6266	random	no			giant grain of protein powder x3-4
Giant red gummi ingot	5473	items	no			giant red gummi bear
Giant yellow gummi ingot	5475	items	no			giant yellow gummi bear
Gilded BRICKO brick	4489	multiuse	no		11=gilded BRICKO chalice	gilded BRICKO chalice
Gilded ancient cursed chest	3018	random	no			cursed piece of thirteen xsome; cursed black pearl onion xsome; cursed sea biscuit xsome; cursed bottle of rum xsome; cursed bottle of black-label rum xsome; cursed cannonball xsome; cursed voodoo skull xsome; cursed dirty joke scroll xsome
Gnollish toolbox	533	random	no			cog xsome; empty meat tank xsome; spring xsome; sprocket xsome
Gnomish toolbox	1768	items	no			cog; spring; sprocket; flange (item); clockwork key
Gold Boozehounds Anonymous token	6723	items	no			a little sump'm sump'm; ducha de oro; horizontal tango; ocean motion; perpendicular hula; pink pony; rockin' wagon; roll in the hay; slap and tickle; slip 'n' slide
Gordon Beer's Beer Garden Catalog	6750	items	no			packet of beer seeds
Government per-diem	11003	meat	no	100		
Grain of sand	10259	multiuse	no		100=small pile of sand; 1000=pile of sand; 10000=large pile of sand	small pile of sand; pile of sand; large pile of sand
Granny Tood's Thanksgarden Catalog	9189	items	no			packet of thanksgarden seeds
Gratitude chocolate (Meat-filled)	8767	meat	no	10000		
Green candygram	2315	items	no			green candy heart
Green gummi ingot	5455	items	no			gummi snake
Green lava globs	8445	items	no			uncapped green lava bottle
Green rocket	9827	items	no			ten-leaf clover x3
Groupie bra	4217	random	no			sand dollar x1-3; Barrrnacle (hatchling); bazookafish bubble gum; bottle of melodramamine; dull fish scale; eel battery; sea grease; sea salt crystal; shark cartilage; soggy seed packet; temporary teardrop tattoo
Grumpy Bumpkin's Pumpkin Seed Catalog	4759	items	no			packet of pumpkin seeds
Grumpy old man charrrm	2972	items	no			grumpy old man charrrm bracelet
Gun parts	8900	multiuse	no		4=rinky-dink sixgun; 7=makeshift sixgun; 11=custom sixgun	rinky-dink sixgun; makeshift sixgun; custom sixgun
Guzzlr application	10532	items	no			Guzzlr tablet
Handful of drink tickets	400	random	no			bottle of whiskey xsome; bottle of gin xsome; bottle of tequila xsome; bottle of rum xsome; bottle of vodka xsome; boxed wine xsome; ice-cold Sir Schlitz xsome; ice-cold Willer xsome; ice-cold fotie xsome; bottle of whiskey xsome; bottle of gin xsome; bottle of tequila xsome; bottle of rum xsome; bottle of vodka xsome; boxed wine xsome; ice-cold Sir Schlitz xsome; ice-cold Willer xsome; ice-cold fotie xsome
Handful of honey	5144	multiuse	no		3=honeypot; 4=honey mead; 5=wild honey pie; 37=honeycap; 42=honeybritches; 69=honey dipper	honeypot; honey mead; wild honey pie; honeycap; honeybritches; honey dipper
Handful of numbers	5052	meat	no	or lose K		
Handful of sand	2581	multiuse	part		5=brick of sand	brick of sand xX; *handful of sand xY
Handful of tips	7188	meat	no	300-400		
Heart necklace	1995	items	no			left half of a heart necklace
Hey Deze map	516	items	no			Hey Deze nuts
Hippy Army MPE	2512	random	no			handful of walnuts xsome; mixed wildflower greens xsome; cruelty-free wine xsome; Genalen™ Bottle xsome; thistle wine xsome; Megatofu
Hjodor's Guide to Arctic Dalmatians	5715	items	all			*Hjodor's Guide to Arctic Dalmatians (used)
Holiday Hal's Happy-Time Fun Book!	4810	items	no			Holiday Fun! x2
Holiday Multitasking (item)	11767	items	no			Holiday Multitasking (used)
